AVERAGE_ATMOSP_PRESSURE,AVERAGE_FREE_FLOW_SPEED,AVERAGE_FREE_FLOW_TIME,AVERAGE_HUMIDITY,AVERAGE_TEMPERATURE,AVERAGE_TIME_DIFF,AVERAGE_WIND_SPEED,DARK,LIGHT,LOW_LIGHT,céu limpo,céu pouco nublado,day,hour,month,nublado,nuvens quebradas,weekday
1026.0,39.2,91.0,71.0,8.0,0.0,1.0,1,0,0,1,0,13,23,2,0,0,2
1020.0,42.5,76.8,93.0,11.0,12.2,4.0,1,0,0,0,0,28,20,11,0,1,2
1017.0,45.9,86.3,93.0,14.0,0.0,0.0,1,0,0,1,0,14,5,8,0,0,1
1016.0,33.2,89.9,77.0,22.0,51.7,4.0,0,1,0,0,1,6,17,7,0,0,5
1004.0,44.0,85.5,100.0,12.0,3.5,9.0,1,0,0,0,0,15,6,10,0,1,0
1017.0,36.7,70.6,82.0,20.0,22.1,4.0,0,1,0,0,0,19,13,6,0,1,2
1024.0,47.9,72.0,93.0,9.0,6.6,5.0,1,0,0,0,0,5,7,12,0,1,2
1015.0,34.7,68.3,67.0,17.0,19.1,2.0,0,1,0,0,1,20,19,5,0,0,0
1013.0,46.5,75.4,100.0,17.0,1.3,1.0,0,1,0,0,0,12,6,7,0,1,4
1014.0,38.6,75.8,60.0,21.0,20.4,2.0,0,1,0,1,0,16,14,11,0,0,4
1013.0,41.3,86.4,93.0,17.0,1.4,1.0,1,0,0,0,0,3,23,9,0,1,0
1012.0,42.1,76.6,93.0,10.0,0.0,1.0,0,1,0,0,0,25,9,11,0,1,6
1006.0,40.7,80.9,76.0,13.0,26.3,4.0,0,1,0,0,0,5,11,11,0,1,0
1016.0,33.2,90.4,88.0,24.0,52.7,4.0,0,1,0,0,0,14,15,7,0,1,6
1022.0,37.0,91.2,77.0,19.0,52.9,1.0,0,1,0,0,0,26,11,9,0,1,3
1014.0,34.2,68.8,82.0,16.0,61.8,6.0,0,1,0,0,1,8,14,5,0,0,2
1008.0,42.3,86.0,82.0,13.0,1.0,3.0,1,0,0,0,0,7,3,11,0,1,2
1016.0,33.5,76.8,82.0,17.0,57.9,4.0,0,1,0,0,0,10,11,5,0,1,4
1020.0,37.9,80.8,87.0,14.0,17.1,2.0,1,0,0,0,1,14,23,6,0,0,4
1014.0,40.4,68.1,93.0,16.0,1.8,1.0,1,0,0,0,1,26,5,6,0,0,2
1022.0,44.2,85.8,93.0,12.0,0.0,5.0,1,0,0,0,0,9,5,2,0,1,5
1012.0,36.5,68.4,82.0,11.0,3.5,2.0,1,0,0,0,1,7,1,6,0,0,4
1018.0,48.6,83.6,100.0,16.0,9.3,7.0,1,0,0,0,0,24,6,9,0,1,1
1018.0,41.2,90.2,66.0,11.0,0.0,2.0,1,0,0,1,0,7,23,10,0,0,6
1020.0,33.6,72.2,72.0,19.0,25.8,4.0,0,1,0,0,0,23,14,5,0,1,3
1017.0,42.9,87.0,53.0,21.0,33.8,2.0,1,0,0,1,0,20,22,10,0,0,5
1017.0,39.9,81.3,83.0,29.0,41.2,2.0,0,1,0,0,1,23,15,8,0,0,4
1019.0,44.8,81.4,100.0,15.0,0.0,5.0,1,0,0,0,0,29,4,8,0,1,3
1024.0,39.4,70.1,93.0,13.0,0.0,5.0,1,0,0,0,0,2,3,12,0,1,6
1015.0,37.9,88.8,68.0,20.0,102.6,3.0,0,1,0,1,0,5,15,10,0,0,4
1019.0,51.5,75.9,93.0,18.0,0.6,3.0,1,0,0,0,0,4,1,9,0,1,2
1020.0,41.6,74.4,93.0,15.0,9.5,1.0,1,0,0,0,0,28,21,9,0,1,5
1018.0,42.4,86.1,93.0,14.0,110.1,3.0,0,1,0,0,0,17,8,10,0,1,2
1004.0,33.2,74.3,76.0,12.0,16.2,1.0,0,1,0,1,0,26,14,11,0,0,0
1026.0,46.4,70.4,100.0,13.0,2.6,2.0,1,0,0,0,0,2,23,11,0,1,4
1014.0,37.1,75.5,72.0,17.0,5.6,0.0,1,0,0,1,0,4,21,5,0,0,5
1016.0,40.4,82.1,82.0,20.0,18.9,1.0,1,0,0,0,1,16,19,9,0,0,0
1013.0,37.1,81.5,78.0,24.0,45.9,2.0,0,1,0,0,0,16,18,7,0,1,1
1020.0,39.6,88.3,25.0,26.0,43.0,3.0,0,1,0,1,0,3,16,10,0,0,2
1016.0,45.1,88.3,50.0,11.0,0.0,2.0,1,0,0,1,0,8,5,10,0,0,0
1022.0,45.6,85.3,87.0,14.0,3.3,2.0,1,0,0,1,0,10,0,8,0,0,4
1020.0,42.1,88.4,100.0,15.0,0.0,1.0,1,0,0,1,0,20,5,9,0,0,3
1017.0,33.5,76.7,48.0,17.0,49.9,5.0,0,1,0,0,0,12,11,6,0,1,2
1015.0,41.5,72.4,87.0,21.0,114.1,5.0,0,1,0,0,0,15,17,5,0,1,2
1016.0,40.7,73.2,100.0,16.0,46.5,0.0,0,1,0,0,0,27,7,6,0,1,3
1021.0,43.5,86.5,44.0,16.0,16.4,3.0,1,0,0,1,0,2,22,10,0,0,1
1022.0,34.7,87.1,57.0,24.0,18.9,3.0,0,1,0,1,0,10,13,9,0,0,0
1006.0,37.3,66.3,93.0,10.0,4.8,0.0,1,0,0,0,0,21,5,11,0,1,2
1015.0,35.1,69.9,64.0,20.0,13.0,2.0,0,1,0,0,0,15,13,11,0,1,3
1021.0,40.4,91.7,93.0,16.0,8.5,1.0,1,0,0,0,0,13,0,8,0,1,1
1012.0,41.3,84.2,68.0,18.0,21.6,5.0,1,0,0,1,0,18,19,10,0,0,3
1017.0,35.6,80.7,88.0,21.0,20.0,7.0,0,1,0,0,1,29,19,6,0,0,5
1019.0,34.6,90.9,76.0,12.0,77.1,3.0,0,1,0,0,0,26,17,1,0,1,5
1018.0,42.0,85.4,68.0,21.0,36.1,5.0,0,1,0,0,0,16,14,6,0,1,6
1023.0,37.8,66.1,93.0,9.0,2.5,1.0,1,0,0,0,0,8,4,6,0,1,5
1016.0,44.1,74.9,100.0,17.0,39.8,2.0,0,1,0,0,0,23,8,7,0,1,1
1024.0,45.2,77.0,49.0,18.0,61.4,6.0,0,1,0,1,0,12,7,9,0,0,3
1024.0,39.6,88.3,69.0,25.0,70.3,3.0,0,1,0,1,0,27,16,9,0,0,3
1022.0,41.7,79.5,88.0,17.0,112.0,3.0,0,1,0,0,0,27,10,9,0,1,4
1013.0,45.8,84.7,81.0,7.0,0.0,0.0,1,0,0,0,0,29,1,10,0,1,0
1019.0,42.4,88.3,100.0,15.0,1.9,0.0,1,0,0,1,0,1,2,10,0,0,0
1024.0,55.9,66.3,93.0,10.0,1.2,2.0,1,0,0,0,0,28,4,1,0,1,0
1018.0,41.4,75.1,87.0,14.0,2.6,4.0,1,0,0,0,0,5,22,5,1,0,6
1025.0,37.4,89.0,66.0,8.0,19.8,5.0,1,0,0,1,0,14,4,2,0,0,3
1014.0,39.5,80.9,100.0,17.0,109.3,2.0,0,1,0,0,0,4,8,7,0,1,3
1017.0,35.7,62.7,76.0,10.0,0.0,4.0,1,0,0,0,0,12,5,6,0,1,2
1021.0,37.4,77.2,71.0,13.0,98.7,3.0,0,1,0,1,0,12,9,4,0,0,4
1017.0,35.7,72.1,76.0,13.0,10.7,3.0,1,0,0,0,1,18,21,5,0,0,5
1012.0,41.0,71.8,100.0,16.0,40.2,7.0,0,1,0,0,0,9,14,5,0,1,3
1023.0,36.2,78.9,77.0,16.0,139.1,4.0,0,1,0,0,1,11,10,5,0,0,5
1021.0,42.0,75.9,93.0,11.0,0.0,3.0,1,0,0,1,0,25,1,1,0,0,4
1015.0,35.0,81.6,72.0,19.0,28.4,2.0,1,0,0,1,0,15,17,11,0,0,3
1024.0,38.2,67.7,87.0,13.0,18.0,5.0,0,1,0,0,0,28,11,1,0,1,0
1021.0,32.2,81.8,50.0,11.0,18.9,6.0,0,1,0,0,0,2,14,2,0,1,5
1014.0,39.6,87.8,33.0,29.0,91.5,3.0,0,1,0,1,0,20,18,8,0,0,0
1025.0,44.3,80.4,93.0,15.0,52.3,4.0,0,1,0,0,0,2,16,11,0,1,4
1018.0,45.0,79.6,39.0,17.0,4.1,5.0,0,1,0,1,0,7,8,9,0,0,5
1021.0,37.5,67.1,93.0,11.0,0.8,1.0,1,0,0,0,0,27,2,1,1,0,6
1018.0,37.6,85.0,73.0,26.0,40.9,4.0,0,1,0,0,0,21,17,7,0,1,6
1031.0,44.3,76.7,93.0,13.0,29.1,0.0,0,1,0,0,0,6,10,12,0,1,3
1016.0,41.2,84.0,88.0,18.0,11.9,2.0,1,0,0,1,0,14,22,8,0,0,1
1016.0,34.1,80.2,58.0,13.0,16.4,3.0,0,1,0,0,1,19,10,5,0,0,6
1020.0,46.2,71.5,93.0,13.0,155.6,3.0,0,1,0,0,0,23,8,9,0,1,0
1017.0,39.3,90.2,93.0,11.0,0.0,2.0,1,0,0,0,0,17,23,2,0,1,6
1015.0,46.2,87.3,93.0,16.0,0.0,1.0,1,0,0,1,0,15,3,8,0,0,2
1018.0,36.3,78.7,47.0,25.0,12.3,1.0,0,1,0,1,0,1,9,6,0,0,5
1019.0,36.8,69.0,63.0,15.0,0.8,5.0,1,0,0,1,0,25,3,5,0,0,5
1020.0,35.4,80.8,60.0,23.0,39.6,5.0,0,1,0,1,0,25,15,5,0,0,5
1017.0,45.4,89.7,44.0,12.0,1.9,3.0,1,0,0,1,0,8,1,10,0,0,0
1021.0,46.8,87.6,73.0,24.0,47.7,4.0,0,1,0,1,0,15,12,8,0,0,3
1013.0,33.3,84.1,87.0,15.0,42.7,4.0,0,1,0,0,0,8,11,5,0,1,2
1017.0,42.1,79.6,93.0,16.0,0.0,2.0,1,0,0,0,0,16,5,9,0,1,0
1010.0,42.5,83.8,75.0,8.0,0.0,4.0,1,0,0,1,0,27,22,10,0,0,5
1019.0,33.6,92.9,77.0,21.0,62.7,5.0,0,1,0,0,0,15,18,8,0,1,3
1028.0,35.5,97.6,46.0,19.0,34.5,2.0,0,1,0,1,0,25,16,2,0,0,0
1021.0,44.0,87.4,100.0,14.0,0.0,0.0,1,0,0,1,0,24,4,9,0,0,0
1015.0,40.7,84.3,83.0,24.0,83.7,4.0,0,1,0,0,0,18,18,7,0,1,3
1010.0,38.7,81.6,93.0,11.0,0.6,1.0,1,0,0,0,0,25,4,11,0,1,6
1021.0,35.6,71.1,93.0,8.0,1.3,0.0,1,0,0,1,0,12,1,4,0,0,4
1018.0,44.4,77.2,93.0,10.0,71.2,3.0,0,1,0,0,0,18,10,2,0,1,0
1029.0,35.7,100.9,66.0,13.0,44.7,3.0,0,1,0,1,0,11,15,2,0,0,0
1028.0,31.7,95.2,67.0,15.0,19.4,2.0,0,1,0,0,0,27,16,2,0,1,2
1021.0,37.8,90.6,93.0,4.0,2.4,2.0,1,0,0,1,0,20,0,2,0,0,2
1027.0,39.1,91.6,100.0,8.0,0.0,0.0,1,0,0,1,0,1,6,3,0,0,4
1015.0,35.5,81.6,82.0,18.0,48.3,2.0,0,1,0,0,0,17,16,6,0,1,0
1018.0,34.7,91.0,88.0,21.0,19.4,3.0,0,1,0,0,0,18,14,9,0,1,1
1014.0,43.1,78.3,65.0,26.0,157.7,1.0,0,1,0,1,0,11,9,7,0,0,3
1030.0,41.7,81.2,87.0,14.0,41.2,3.0,0,1,0,0,0,7,15,12,0,1,4
1015.0,41.4,85.1,77.0,15.0,8.7,6.0,0,1,0,0,0,14,12,10,0,1,6
1011.0,43.5,86.0,73.0,20.0,0.0,2.0,1,0,0,1,0,2,5,9,0,0,6
1019.0,40.4,83.2,50.0,23.0,7.3,4.0,1,0,0,1,0,24,19,9,0,0,0
1016.0,41.8,83.1,93.0,14.0,0.0,1.0,0,1,0,0,0,20,7,6,0,1,3
1015.0,40.8,89.3,82.0,20.0,74.6,2.0,0,1,0,0,0,25,17,7,0,1,2
1021.0,38.1,89.9,88.0,18.0,70.7,2.0,0,1,0,0,0,9,15,9,0,1,6
1022.0,44.5,85.4,100.0,13.0,0.0,0.0,1,0,0,1,0,23,4,9,0,0,6
1019.0,39.9,92.9,88.0,18.0,10.5,4.0,1,0,0,0,0,20,21,7,0,1,5
1018.0,37.9,89.3,68.0,21.0,23.8,9.0,0,1,0,0,0,12,11,10,0,1,4
1022.0,44.3,85.8,87.0,13.0,0.0,2.0,1,0,0,1,0,10,3,8,0,0,4
1017.0,35.9,78.2,100.0,14.0,4.8,4.0,1,0,0,0,0,14,4,4,0,1,6
1013.0,42.8,86.2,56.0,22.0,129.6,5.0,0,1,0,1,0,19,15,10,0,0,4
986.0,42.5,72.2,78.0,14.0,0.0,2.0,0,1,0,0,0,18,9,11,0,1,6
1014.0,48.4,80.4,87.0,13.0,0.0,0.0,1,0,0,1,0,26,3,8,0,0,6
1007.0,38.5,87.9,88.0,20.0,31.1,1.0,1,0,0,0,0,13,19,10,0,1,5
1021.0,45.8,85.5,93.0,17.0,8.8,1.0,1,0,0,0,0,20,20,9,0,1,3
1018.0,35.9,90.4,77.0,24.0,38.1,6.0,0,1,0,0,1,20,17,7,0,0,5
1017.0,41.9,86.6,88.0,19.0,61.8,2.0,0,1,0,0,0,28,15,8,0,1,1
1017.0,37.5,63.4,100.0,15.0,9.4,5.0,1,0,0,0,0,21,4,6,0,1,4
1000.0,45.4,74.9,66.0,11.0,43.1,3.0,0,1,0,0,0,23,18,4,0,1,1
1020.0,40.4,83.2,38.0,23.0,26.2,3.0,0,1,0,1,0,1,14,10,0,0,0
1019.0,45.0,80.6,100.0,15.0,1.0,1.0,1,0,0,1,0,24,6,8,0,0,4
1021.0,43.9,84.7,77.0,18.0,31.9,1.0,0,1,0,1,0,12,9,9,0,0,2
1016.0,47.9,70.1,64.0,24.0,4.5,2.0,1,0,0,1,0,2,21,9,0,0,0
1007.0,40.3,85.7,72.0,15.0,24.5,5.0,0,1,0,0,0,5,15,11,0,1,0
1016.0,40.1,90.9,83.0,21.0,42.3,0.0,1,0,0,0,0,4,23,8,0,1,5
1015.0,46.5,74.0,93.0,7.0,105.1,4.0,0,1,0,0,0,30,9,1,0,1,2
1017.0,36.4,78.7,88.0,18.0,24.0,5.0,0,0,1,0,1,29,20,6,0,0,5
1016.0,38.4,86.2,82.0,20.0,6.7,3.0,0,0,1,1,0,26,20,7,0,0,3
1015.0,33.9,76.0,31.0,28.0,31.9,3.0,0,1,0,1,0,14,15,5,0,0,1
1020.0,42.3,82.3,63.0,10.0,61.7,2.0,0,1,0,1,0,25,9,10,0,0,3
1018.0,38.2,93.4,93.0,12.0,7.5,2.0,0,1,0,0,0,1,10,11,0,1,3
1021.0,44.9,84.6,87.0,10.0,4.5,0.0,1,0,0,1,0,25,1,10,0,0,3
1022.0,37.6,65.9,67.0,15.0,57.8,4.0,0,0,1,0,1,7,20,6,0,0,4
1019.0,35.0,87.8,77.0,22.0,154.9,5.0,0,1,0,0,0,16,11,8,0,1,4
1017.0,41.6,79.9,77.0,20.0,53.2,4.0,0,1,0,0,1,22,15,9,0,0,6
1017.0,41.4,80.2,77.0,18.0,9.2,6.0,1,0,0,0,0,18,20,8,0,1,6
1017.0,40.3,81.8,39.0,27.0,21.8,4.0,0,1,0,1,0,8,14,9,0,0,6
1024.0,40.3,87.9,87.0,14.0,63.4,3.0,0,1,0,0,0,3,12,11,0,1,5
1018.0,39.6,89.1,68.0,18.0,58.9,7.0,0,1,0,0,0,6,17,10,0,1,5
1017.0,39.9,85.9,93.0,19.0,46.2,2.0,0,1,0,0,0,9,9,7,0,1,1
1016.0,50.3,77.5,100.0,11.0,0.0,2.0,1,0,0,1,0,6,4,10,0,0,5
1015.0,45.0,84.2,100.0,18.0,34.3,6.0,0,1,0,0,0,9,8,8,0,1,4
1012.0,37.8,64.5,93.0,10.0,0.0,3.0,1,0,0,0,0,13,3,6,0,1,3
1017.0,34.3,81.9,100.0,16.0,7.5,5.0,1,0,0,0,0,26,4,7,0,1,4
1027.0,38.9,96.8,54.0,16.0,47.6,3.0,1,0,0,1,0,22,20,2,0,0,4
1011.0,45.0,80.6,93.0,13.0,100.3,2.0,0,0,1,1,0,18,7,10,0,0,3
1007.0,35.7,89.1,56.0,20.0,10.3,6.0,0,1,0,1,0,17,14,11,0,0,5
1018.0,33.3,81.7,77.0,21.0,41.8,5.0,0,1,0,0,1,29,15,4,0,0,0
1016.0,44.1,86.4,88.0,25.0,57.8,2.0,0,1,0,0,0,22,18,7,0,1,0
1018.0,34.5,77.7,42.0,29.0,32.2,2.0,0,1,0,1,0,1,12,6,0,0,5
1016.0,42.3,83.2,100.0,16.0,9.8,4.0,1,0,0,0,0,17,19,9,0,1,0
1016.0,42.2,84.1,47.0,27.0,38.2,5.0,0,1,0,1,0,14,17,8,0,0,1
1018.0,41.1,81.8,53.0,27.0,78.6,7.0,0,1,0,1,0,20,16,8,0,0,1
1018.0,41.8,81.1,93.0,15.0,0.0,0.0,1,0,0,1,0,25,1,8,0,0,5
1017.0,40.1,84.7,73.0,22.0,6.9,4.0,0,1,0,0,0,28,13,7,0,1,5
1022.0,37.5,94.1,73.0,21.0,45.9,2.0,0,1,0,0,1,10,11,8,0,0,5
1024.0,47.5,67.2,100.0,5.0,5.6,3.0,1,0,0,1,0,21,1,1,0,0,0
1024.0,40.8,82.7,41.0,22.0,51.9,2.0,0,1,0,1,0,24,14,10,0,0,2
1020.0,38.5,74.4,93.0,10.0,6.8,3.0,1,0,0,0,0,26,21,1,0,1,5
1010.0,40.9,87.0,50.0,12.0,21.1,9.0,0,1,0,0,0,28,12,10,0,1,6
1015.0,47.2,76.2,100.0,17.0,0.0,0.0,1,0,0,0,0,23,5,7,0,1,1
1019.0,40.1,67.1,100.0,12.0,0.0,1.0,1,0,0,0,0,23,5,5,0,1,3
1014.0,32.7,91.2,93.0,21.0,33.4,1.0,0,1,0,0,0,16,11,7,0,1,1
1027.0,41.5,88.9,76.0,11.0,0.0,5.0,1,0,0,1,0,24,4,2,0,0,6
1013.0,42.4,86.6,86.0,5.0,8.3,0.0,1,0,0,1,0,29,2,10,0,0,0
1024.0,37.9,76.1,76.0,12.0,20.3,4.0,0,1,0,0,0,27,12,11,0,1,1
1012.0,44.8,84.7,72.0,20.0,0.0,3.0,1,0,0,1,0,2,6,9,0,0,6
1017.0,36.5,81.1,88.0,19.0,10.2,3.0,0,1,0,0,0,20,13,6,0,1,3
1019.0,43.2,63.3,100.0,16.0,9.4,1.0,0,1,0,0,0,1,6,7,0,1,0
1013.0,44.0,85.5,47.0,26.0,32.3,4.0,0,1,0,1,0,2,15,9,0,0,6
1017.0,36.2,77.2,93.0,18.0,5.3,5.0,1,0,0,0,0,28,22,6,0,1,4
1020.0,42.1,75.9,76.0,12.0,38.7,7.0,1,0,0,0,0,22,18,1,0,1,1
1013.0,44.4,75.0,40.0,19.0,47.9,5.0,1,0,0,1,0,8,18,10,0,0,0
1013.0,35.7,62.3,87.0,11.0,6.4,1.0,1,0,0,0,0,14,2,6,0,1,4
1017.0,39.6,87.8,93.0,17.0,122.7,0.0,0,1,0,0,0,18,9,9,1,0,1
1014.0,39.9,75.7,93.0,19.0,1.7,2.0,1,0,0,0,1,7,21,7,0,0,6
1019.0,41.8,74.6,76.0,11.0,8.8,0.0,1,0,0,1,0,29,23,3,0,0,4
1017.0,32.2,80.8,87.0,16.0,30.4,5.0,0,1,0,0,0,7,11,5,0,1,1
1020.0,41.5,67.2,39.0,27.0,42.3,5.0,0,1,0,1,0,29,17,5,0,0,2
1019.0,41.7,77.6,68.0,18.0,50.9,3.0,0,1,0,1,0,5,7,9,0,0,3
1022.0,43.1,79.0,100.0,7.0,4.4,2.0,1,0,0,0,0,13,0,11,0,1,1
1012.0,46.4,79.9,100.0,16.0,0.0,0.0,1,0,0,0,0,16,0,10,0,1,1
1017.0,42.6,79.7,88.0,17.0,6.5,3.0,1,0,0,0,0,31,21,8,0,1,5
1016.0,41.0,90.4,100.0,19.0,92.6,1.0,0,1,0,0,0,25,16,7,0,1,3
1022.0,37.4,91.6,100.0,18.0,36.7,2.0,0,1,0,0,0,20,11,9,1,0,3
1012.0,46.4,83.7,100.0,16.0,0.0,1.0,1,0,0,0,0,28,5,8,0,1,1
1015.0,42.7,62.6,93.0,10.0,6.0,4.0,1,0,0,0,0,20,1,5,0,1,0
1021.0,39.3,87.4,77.0,20.0,86.8,7.0,0,1,0,1,0,12,18,8,0,0,0
1017.0,41.1,79.2,93.0,13.0,33.7,9.0,0,1,0,0,0,23,15,1,0,1,2
1019.0,44.9,92.4,100.0,15.0,16.9,6.0,1,0,0,0,0,16,5,8,0,1,4
1015.0,40.6,69.6,100.0,16.0,86.3,3.0,0,1,0,0,0,19,9,6,0,1,2
1014.0,45.6,87.8,100.0,16.0,9.0,4.0,1,0,0,0,0,19,0,6,0,1,2
1016.0,47.8,75.9,100.0,17.0,1.9,1.0,1,0,0,0,0,19,22,9,0,1,3
1027.0,32.8,106.1,39.0,17.0,33.5,2.0,0,1,0,1,0,13,16,2,0,0,2
1019.0,35.2,74.3,100.0,7.0,11.5,1.0,1,0,0,1,0,25,6,1,0,0,4
1010.0,40.0,87.9,38.0,23.0,17.0,3.0,0,1,0,1,0,9,12,10,0,0,1
1017.0,37.4,90.3,93.0,16.0,4.6,2.0,1,0,0,0,0,18,2,7,0,1,3
1018.0,32.5,85.8,76.0,14.0,94.2,3.0,0,1,0,0,0,17,17,2,0,1,6
1010.0,36.6,77.3,72.0,17.0,5.5,5.0,0,1,0,1,0,17,10,11,0,0,5
1013.0,34.4,91.5,73.0,23.0,20.6,2.0,0,1,0,1,0,24,19,7,0,0,2
1020.0,40.7,78.5,100.0,16.0,1.6,2.0,1,0,0,0,0,18,23,9,0,1,1
1017.0,45.6,90.8,81.0,11.0,0.0,0.0,1,0,0,1,0,5,1,10,0,0,4
1016.0,35.9,61.9,76.0,11.0,0.8,5.0,1,0,0,0,0,17,4,5,0,1,4
1028.0,42.8,89.7,44.0,15.0,77.6,2.0,0,1,0,1,0,12,16,2,0,0,1
1029.0,45.3,64.9,66.0,8.0,4.4,3.0,1,0,0,1,0,10,4,12,0,0,0
1010.0,43.0,89.3,47.0,14.0,26.9,9.0,0,1,0,0,0,28,14,10,0,1,6
1024.0,42.1,75.0,100.0,10.0,0.0,6.0,1,0,0,0,0,28,6,1,0,1,0
1015.0,34.9,83.1,88.0,19.0,13.4,1.0,0,1,0,0,1,24,11,6,0,0,0
1022.0,41.4,80.5,82.0,13.0,55.0,4.0,1,0,0,0,0,27,18,11,0,1,1
1019.0,42.4,88.3,44.0,26.0,81.3,3.0,0,1,0,0,0,11,17,9,0,1,1
1030.0,41.5,75.5,81.0,9.0,0.0,2.0,1,0,0,1,0,10,1,12,0,0,0
1015.0,33.7,84.1,82.0,21.0,9.8,3.0,0,1,0,0,1,6,19,7,0,0,5
1016.0,43.8,86.3,100.0,18.0,0.0,3.0,1,0,0,0,0,26,0,7,0,1,3
1017.0,36.9,90.9,82.0,22.0,36.1,6.0,0,1,0,0,1,31,17,8,0,0,5
1020.0,45.3,81.6,87.0,12.0,124.0,5.0,0,1,0,0,0,9,9,11,0,1,4
999.0,37.5,77.1,87.0,15.0,67.4,6.0,0,1,0,0,0,22,16,4,0,1,0
1023.0,42.3,74.6,93.0,13.0,0.0,5.0,1,0,0,0,0,2,5,12,0,1,6
1020.0,37.3,94.8,67.0,16.0,5.6,7.0,0,1,0,0,0,17,13,2,0,1,6
1014.0,36.0,87.8,82.0,20.0,51.6,3.0,0,1,0,0,0,20,14,9,0,1,4
1019.0,45.8,84.4,100.0,15.0,22.7,8.0,1,0,0,0,0,21,5,7,0,1,6
1030.0,50.3,73.8,80.0,1.0,75.0,4.0,0,0,1,1,0,4,8,2,0,0,0
1016.0,45.3,65.6,100.0,15.0,1.8,1.0,1,0,0,0,0,25,1,6,0,1,1
1032.0,39.0,90.0,93.0,10.0,92.6,1.0,0,1,0,1,0,28,10,2,0,0,3
1020.0,47.7,73.2,100.0,7.0,0.0,1.0,1,0,0,0,0,15,22,1,0,1,1
1021.0,36.3,74.3,81.0,5.0,11.3,2.0,0,1,0,1,0,26,9,1,0,0,5
1016.0,49.0,73.4,93.0,19.0,2.1,1.0,1,0,0,0,0,23,21,7,0,1,1
1020.0,42.2,94.6,100.0,15.0,14.9,1.0,0,1,0,0,0,16,9,9,0,1,6
1017.0,46.2,79.5,100.0,17.0,0.0,2.0,1,0,0,0,0,16,23,9,0,1,0
1021.0,42.0,87.4,100.0,16.0,41.7,2.0,0,1,0,0,0,20,10,9,1,0,3
1018.0,40.8,88.2,42.0,27.0,41.7,4.0,0,1,0,1,0,14,17,9,0,0,5
1023.0,37.5,92.5,100.0,11.0,6.4,4.0,1,0,0,0,0,8,23,2,0,1,4
1014.0,42.9,86.4,100.0,16.0,5.9,1.0,1,0,0,0,0,20,4,9,1,0,4
1014.0,39.1,91.8,82.0,12.0,0.0,7.0,0,1,0,0,1,5,9,3,0,0,1
1019.0,34.9,73.2,60.0,20.0,28.6,8.0,0,1,0,0,1,24,13,5,0,0,4
1007.0,47.9,78.4,100.0,13.0,8.9,4.0,1,0,0,0,0,30,21,1,0,1,2
1014.0,40.4,83.2,60.0,22.0,11.9,2.0,1,0,0,1,0,20,21,8,0,0,0
1015.0,42.3,84.3,82.0,14.0,58.9,1.0,0,1,0,0,0,7,10,11,0,1,2
